reference_id	species	strain	assembly_accession	genbank_accession	assembly_name	assembly_level	bioproject	biosample	ftp_url	local_filename	provenance	notes
vpara_atcc_17802	Vibrio parahaemolyticus	ATCC 17802	GCF_001558495.2	GCA_001558495.2	ASM155849v2	Complete Genome	PRJNA224116;PRJNA231221	SAMN03996250	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/558/495/GCF_001558495.2_ASM155849v2/GCF_001558495.2_ASM155849v2_genomic.fna.gz	GCF_001558495.2_ASM155849v2_genomic.fna.gz	NCBI Assembly E-utilities queried 2026-08-14; submitted by University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	RefSeq and GenBank assemblies reported as identical; release date 2018-02-23; NCBI taxonomy-check status OK.
vpara_vp18	Vibrio parahaemolyticus	vp18	GCF_057321345.1	GCA_057321345.1	vp18	Complete Genome	PRJNA1403227;PRJNA224116	SAMN57114497	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/057/321/345/GCF_057321345.1_vp18/GCF_057321345.1_vp18_genomic.fna.gz	GCF_057321345.1_vp18_genomic.fna.gz	NCBI Assembly E-utilities queried 2026-08-14; submitted by Nguyen Tat Thanh University	RefSeq and GenBank assemblies reported as identical; release date 2026-05-10; FASTA includes two chromosome records plus plasmid records; NCBI taxonomy-check status OK.
vpara_lvp2	Vibrio parahaemolyticus	LVP2	GCF_013393865.1	GCA_013393865.1	ASM1339386v1	Complete Genome	PRJNA224116;PRJNA541191	SAMN11579496	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/393/865/GCF_013393865.1_ASM1339386v1/GCF_013393865.1_ASM1339386v1_genomic.fna.gz	GCF_013393865.1_ASM1339386v1_genomic.fna.gz	NCBI Assembly E-utilities queried 2026-08-14; submitted by Huazhong Agricultural University	RefSeq and GenBank assemblies reported as identical; release date 2020-07-09; NCBI taxonomy-check status OK.
vpara_2012aw_0154	Vibrio parahaemolyticus	2012AW-0154	GCF_009665495.1	GCA_009665495.1	ASM966549v1	Complete Genome	PRJNA224116;PRJNA266293	SAMN10702672	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/665/495/GCF_009665495.1_ASM966549v1/GCF_009665495.1_ASM966549v1_genomic.fna.gz	GCF_009665495.1_ASM966549v1_genomic.fna.gz	NCBI Assembly E-utilities queried 2026-08-14; submitted by CDC	RefSeq and GenBank assemblies reported as identical; release date 2019-11-20; NCBI taxonomy-check status OK.
