reference_id	species	strain	assembly_accession	genbank_accession	assembly_name	assembly_level	bioproject	biosample	ftp_url	local_filename	provenance	notes
vv_24_vb00699	Vibrio vulnificus	24-VB00699	GCF_056820805.1	GCA_056820805.1	ASM5682080v1	Complete Genome	PRJNA224116;PRJNA1451777	SAMN57199157	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/056/820/805/GCF_056820805.1_ASM5682080v1/GCF_056820805.1_ASM5682080v1_genomic.fna.gz	GCF_056820805.1_ASM5682080v1_genomic.fna.gz	NCBI Assembly E-utilities queried 2026-08-14; submitted by German Federal Institute for Risk Assessment	RefSeq and GenBank assemblies reported as identical; release date 2026-04-23; two chromosome records NZ_CM165957.1 and NZ_CM165958.1.
vv_2142_77	Vibrio vulnificus	2142-77	GCF_009665475.1	GCA_009665475.1	ASM966547v1	Complete Genome	PRJNA224116;PRJNA266293	SAMN10702673	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/665/475/GCF_009665475.1_ASM966547v1/GCF_009665475.1_ASM966547v1_genomic.fna.gz	GCF_009665475.1_ASM966547v1_genomic.fna.gz	NCBI Assembly E-utilities queried 2026-08-14; submitted by CDC	RefSeq and GenBank assemblies reported as identical; release date 2019-11-20; two chromosome records NZ_CP035731.1 and NZ_CP035732.1; NCBI taxonomy-check status reported as Inconclusive.
vv_7356	Vibrio vulnificus	7356	GCF_046581405.1	GCA_046581405.1	NHRI_VV7356_1.0	Complete Genome	PRJNA553648	SAMN04457467	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/046/581/405/GCF_046581405.1_NHRI_VV7356_1.0/GCF_046581405.1_NHRI_VV7356_1.0_genomic.fna.gz	GCF_046581405.1_NHRI_VV7356_1.0_genomic.fna.gz	NCBI Assembly E-utilities queried 2026-08-14; submitted by National Health Research Institutes	RefSeq and GenBank assemblies reported as identical; release date 2025-01-11; NCBI taxonomy-check status OK.
vv_env1	Vibrio vulnificus	Env1	GCF_003047125.1	GCA_003047125.1	ASM304712v1	Complete Genome	PRJNA224116;PRJNA344693	SAMN05828159	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/047/125/GCF_003047125.1_ASM304712v1/GCF_003047125.1_ASM304712v1_genomic.fna.gz	GCF_003047125.1_ASM304712v1_genomic.fna.gz	NCBI Assembly E-utilities queried 2026-08-14; submitted by Nanyang Technological University	RefSeq and GenBank assemblies reported as identical; release date 2018-04-25; NCBI taxonomy-check status OK.
