reference_id	species	strain	assembly_accession	genbank_accession	assembly_name	assembly_level	bioproject	biosample	ftp_url	local_filename	provenance	notes
vdiabolicus_fa3	Vibrio diabolicus	FA3	GCF_011801455.1	GCA_011801455.1	ASM1180145v1	Complete Genome	PRJNA224116;PRJNA558270	SAMN12434698	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/801/455/GCF_011801455.1_ASM1180145v1/GCF_011801455.1_ASM1180145v1_genomic.fna.gz	GCF_011801455.1_ASM1180145v1_genomic.fna.gz	NCBI Assembly E-utilities queried 2026-08-14; submitted by Shanghai Jiao Tong University	RefSeq and GenBank assemblies reported as identical; release date 2020-04-03; NCBI taxonomy-check status OK.
vdiabolicus_fdaargos_105	Vibrio diabolicus	FDAARGOS_105	GCF_002953395.1	GCA_002953395.1	ASM295339v1	Complete Genome	PRJNA224116;PRJNA231221	SAMN03996322	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/395/GCF_002953395.1_ASM295339v1/GCF_002953395.1_ASM295339v1_genomic.fna.gz	GCF_002953395.1_ASM295339v1_genomic.fna.gz	NCBI Assembly E-utilities queried 2026-08-14; submitted by University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	RefSeq and GenBank assemblies reported as identical; release date 2018-03-04; NCBI taxonomy-check status OK.
vdiabolicus_zf102	Vibrio diabolicus	ZF102	GCF_054111865.1	GCA_054111865.1	ASM5411186v1	Complete Genome	PRJNA1378177;PRJNA224116	SAMN53829445	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/111/865/GCF_054111865.1_ASM5411186v1/GCF_054111865.1_ASM5411186v1_genomic.fna.gz	GCF_054111865.1_ASM5411186v1_genomic.fna.gz	NCBI Assembly E-utilities queried 2026-08-14; submitted by NCTR/FDA	RefSeq and GenBank assemblies reported as identical; release date 2025-12-22; FASTA includes chromosome and plasmid records; NCBI taxonomy-check status OK.
vdiabolicus_mzt14	Vibrio diabolicus	MZT14	GCF_056531025.1	GCA_056531025.1	ASM5653102v1	Complete Genome	PRJNA1431139;PRJNA224116	SAMN56298309	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/056/531/025/GCF_056531025.1_ASM5653102v1/GCF_056531025.1_ASM5653102v1_genomic.fna.gz	GCF_056531025.1_ASM5653102v1_genomic.fna.gz	NCBI Assembly E-utilities queried 2026-08-14; submitted by University of Chinese Academy of Sciences	RefSeq and GenBank assemblies reported as identical; release date 2026-04-18; NCBI taxonomy-check status OK.
vdiabolicus_3098	Vibrio diabolicus	3098	GCF_040969975.1	GCA_040969975.1	ASM4096997v1	Complete Genome	PRJNA1139145	SAMN42762578	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/969/975/GCF_040969975.1_ASM4096997v1/GCF_040969975.1_ASM4096997v1_genomic.fna.gz	GCF_040969975.1_ASM4096997v1_genomic.fna.gz	NCBI Assembly E-utilities queried 2026-08-14; submitted by University of Delaware	RefSeq and GenBank assemblies reported as identical; release date 2024-08-02; NCBI infraspecies strain field was blank but FASTA headers identify strain 3098; FASTA includes chromosome and plasmid records; NCBI taxonomy-check status OK.
