reference_id	species	strain	assembly_accession	genbank_accession	assembly_name	assembly_level	bioproject	biosample	ftp_url	local_filename	provenance	notes
valginolyticus_e110	Vibrio alginolyticus	E110	GCF_023650915.1	GCA_023650915.1	ASM2365091v1	Complete Genome	PRJNA224116;PRJNA842900	SAMN28690470	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/650/915/GCF_023650915.1_ASM2365091v1/GCF_023650915.1_ASM2365091v1_genomic.fna.gz	GCF_023650915.1_ASM2365091v1_genomic.fna.gz	NCBI Assembly E-utilities queried 2026-08-14; submitted by Hohai university	RefSeq and GenBank assemblies reported as identical; release date 2022-06-08; FASTA includes chromosome and plasmid records; NCBI taxonomy-check status OK.
valginolyticus_v208	Vibrio alginolyticus	V208	GCF_029023705.1	GCA_029023705.1	ASM2902370v1	Complete Genome	PRJNA224116;PRJNA914517	SAMN32339287	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/023/705/GCF_029023705.1_ASM2902370v1/GCF_029023705.1_ASM2902370v1_genomic.fna.gz	GCF_029023705.1_ASM2902370v1_genomic.fna.gz	NCBI Assembly E-utilities queried 2026-08-14; submitted by Ji Mei University	RefSeq and GenBank assemblies reported as identical; release date 2023-03-10; NCBI taxonomy-check status OK.
valginolyticus_zj_0	Vibrio alginolyticus	ZJ-0	GCF_047497145.1	GCA_047497145.1	ASM4749714v1	Complete Genome	PRJNA734112	SAMN19471644	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/047/497/145/GCF_047497145.1_ASM4749714v1/GCF_047497145.1_ASM4749714v1_genomic.fna.gz	GCF_047497145.1_ASM4749714v1_genomic.fna.gz	NCBI Assembly E-utilities queried 2026-08-14; submitted by South China Sea Institute of Oceanology, Chinese Academy of Sciences	RefSeq and GenBank assemblies reported as identical; release date 2025-02-07; NCBI infraspecies strain field was blank but FASTA headers identify strain ZJ-0; NCBI taxonomy-check status OK.
valginolyticus_hlbs_07	Vibrio alginolyticus	HLBS-07	GCF_023169625.1	GCA_023169625.1	ASM2316962v1	Complete Genome	PRJDB9917;PRJNA224116	SAMD00228407	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/169/625/GCF_023169625.1_ASM2316962v1/GCF_023169625.1_ASM2316962v1_genomic.fna.gz	GCF_023169625.1_ASM2316962v1_genomic.fna.gz	NCBI Assembly E-utilities queried 2026-08-14; submitted by Oki marine biological station, Education and Research Center for Biological Resources, Faculty of Life and Environmental Science, Shimane University	RefSeq and GenBank assemblies reported as identical; release date 2022-05-03; NCBI taxonomy-check status OK.
